Filename,Marathi Translation
common_voice_hi_23824450.mp3,त्यापेक्षा दोन वर्षांची शिखर आहे
common_voice_hi_23824451.mp3,माझे डोळे कमकुवत होत आहेत
common_voice_hi_23824452.mp3,तो टिंगवर परत येईल
common_voice_hi_23824453.mp3,ते पाजबाचे चाई उचलतात
common_voice_hi_23824456.mp3,महाराष्ट्र सार्वजनिक सेवा आयोगात व्हॅकॅन्सी
common_voice_hi_23824457.mp3,आता न्यायालयात सिला दिसत नव्हती
common_voice_hi_23824458.mp3,त्याने स्वत: सर्व काही केले
common_voice_hi_23824459.mp3,तुन्या बदलली आहे
common_voice_hi_23824460.mp3,किंवा चेहरा नाही
common_voice_hi_23824468.mp3,मी सर आहे
common_voice_hi_23824470.mp3,मी आत आहे
common_voice_hi_23824471.mp3,आपण अप आहात?
common_voice_hi_23824472.mp3,अदिया ताई हा माझा खटला नाही
common_voice_hi_23824473.mp3,ती खूप स्त्री आहे
common_voice_hi_23828686.mp3,बरीच चालना आणि करत आहे
common_voice_hi_23828697.mp3,चिनी गरम कॉफीमध्ये फिरते
common_voice_hi_23828698.mp3,आम्ही सर्व वेडे आहोत
common_voice_hi_23828699.mp3,"तो गोडा नाही, तो दोन आहे"
common_voice_hi_23828700.mp3,तो त्याचा मित्र आहे
common_voice_hi_23828701.mp3,ती अवि पर्यंत येथे आली नाही
common_voice_hi_23828712.mp3,हे जीवनाच्या हृदयात आहे का?
common_voice_hi_23828713.mp3,मी चीनचा महिना होतो
common_voice_hi_23828714.mp3,त्याने शुक्रियाही म्हटले नाही
common_voice_hi_23828715.mp3,राजा ई सभेचे दििपी चेरमेन बिपाथा बनवू शकते.
common_voice_hi_23828716.mp3,महावोज जगासाठी आर्टो शोध
common_voice_hi_23828722.mp3,आपण मरणार आहात
common_voice_hi_23828723.mp3,फाटणे
common_voice_hi_23828724.mp3,बाइन पिऊ नका
common_voice_hi_23828725.mp3,"गुरूंचा कुर्तुद ऐकून, आपले डोळे लाजिरवाणे ऐकले जातील"
common_voice_hi_23828727.mp3,"निरभयाचा आरोपी सोडण्याची तयारी, बक्सर तुरूंगात रोप बनविली जात आहे."
common_voice_hi_23828747.mp3,कोल कटा आर्बो रॅडो अन्रेई महिलांना राज्यात घेण्यात आले
common_voice_hi_23828748.mp3,आपल्याला कोण आवडते हे घेऊन जा
common_voice_hi_23828749.mp3,मी टॉम मते करतो
common_voice_hi_23828750.mp3,छळ करू नका
common_voice_hi_23828751.mp3,तो कधी अ‍ॅडम असेल
common_voice_hi_23828802.mp3,"राहुल गांडी, बझ बहवी पुरवू नये"
common_voice_hi_23828803.mp3,"तो तरुण वार्स्तीच्या जॅकल गातात गेला, ज्याने ते पाहिले."
common_voice_hi_23828804.mp3,जिम त्याच्या वडिलांकडे जातो
common_voice_hi_23828805.mp3,मुंबई लोकल ट्रेनमध्ये एसी तनाड स्थापित केले जाईल
common_voice_hi_23828806.mp3,पुन्हा एकदा बनवू नका
common_voice_hi_23830498.mp3,टुहरे ट्युटने वेळ
common_voice_hi_23830499.mp3,"कवितेच्या चक्रात, परंतु फिल हॉल नाही, कंगनार लोड."
common_voice_hi_23830500.mp3,तेथे गाम गॅटनाचा चासम होता
common_voice_hi_23830501.mp3,शिंगाप्रिरला मलयामध्ये सिंगापारा म्हणतात
common_voice_hi_23830502.mp3,उसट्रिगात्ना यांनी संपूर्ण शाळा सद्दाला दिली
common_voice_hi_23830508.mp3,तुला माझी आई हवी आहे का?
common_voice_hi_23830509.mp3,मी हुक आहे
common_voice_hi_23830510.mp3,नीता अंबानी रिलहॅन्च अँथ्टीजची पहिली महिला डरेक्टर बनली
common_voice_hi_23830511.mp3,आपण कधीही हिरा नसतो
common_voice_hi_23830512.mp3,तर तो जिथे जातो तिथेही कुत्रा त्यामागे जातो
common_voice_hi_23830513.mp3,"अमीर आहे, तेथे एक कर्करोग देखील आहे"
common_voice_hi_23830514.mp3,सरकारवर रागावलेला सरकारचा राग
common_voice_hi_23830515.mp3,मी आहे
common_voice_hi_23830516.mp3,अ‍ॅचिबा फॉडो
common_voice_hi_23830517.mp3,आपले स्वागत आहे
common_voice_hi_23830518.mp3,म्हणून मी सर्व काही दिले
common_voice_hi_23830519.mp3,तेथे ते मला बारात बद्दल सांगते.
common_voice_hi_23830520.mp3,रत्न पासून माझे नाव
common_voice_hi_23830521.mp3,पुढील वर्षी हवाई चार होय
common_voice_hi_23830522.mp3,मी दुपारी त्याला सकाळी त्याला त्याच्याबरोबर उचलण्यासाठी दिले आहे
common_voice_hi_23830523.mp3,अनिल कपूर भोपी देओलचा भ्रष्टाचार पाहून
common_voice_hi_23830524.mp3,"आज, बूचा समावेश बीआयजेजेपीमध्ये केला जाईल"
common_voice_hi_23830525.mp3,बोलू नका आणि बोलू नका
common_voice_hi_23830526.mp3,तू कुठे आहेस
common_voice_hi_23830527.mp3,"लवकरच, तेरारापार फक्त 3 व्हिसाल डेस पहा"
common_voice_hi_23830779.mp3,जर तो या मनाने धक्का देत राहिला तर परीक्षेत अनुपस्थिती संपेल
common_voice_hi_23830780.mp3,वेडा होण्यासाठी एक वेडा आहे
common_voice_hi_23830781.mp3,आपण काय गेला?
common_voice_hi_23830782.mp3,मी मित्र आणि मित्र आहे
common_voice_hi_23830783.mp3,ट्यून्याक तबस हा पहिला अलक भिकारी आहे
common_voice_hi_23830797.mp3,खूप बिमानन कंपनीया मसवुत भ्लोबल थ्रीके ली राइट बांगाट शापिस जेड
common_voice_hi_23830798.mp3,तीन हबसाठी कामातून चार कर आकारला.
common_voice_hi_23830800.mp3,मी त्या व्यक्तीला घालतो?
common_voice_hi_23830801.mp3,तुम्हाला हे देखील माहित आहे की मी एक शंकू आहे
common_voice_hi_23830802.mp3,मी हसून हसलो ym
common_voice_hi_23830812.mp3,कार यार्पॉटच्या मार्गावर केली गेली आहे
common_voice_hi_23830813.mp3,जा एक चांगला हेडा कुठे आहे?
common_voice_hi_23830814.mp3,सुद्रुगन सीना ले चॅपच्या ताइमिंगवर उपस्थित केलेले प्रश्न
common_voice_hi_23830815.mp3,"यामध्ये लोक त्यांच्या मारहाणशी लग्न करीत नाहीत, ते आनंदी नाहीत"
common_voice_hi_23830816.mp3,तू मजबूत आहेस ना?
common_voice_hi_23832722.mp3,त्याला माहित नाही
common_voice_hi_23832723.mp3,मुलीवरील शीखविरतचा हा विध्वंसक एम स्टॅग देखील असेल
common_voice_hi_23832724.mp3,ब्री टेन फक्त चिनी भासूमध्ये जार शिकवले:
common_voice_hi_23832725.mp3,जेम्सच्या मेरानने चित्रपट बनवण्याचा एक नवीन मार्ग तयार केला
common_voice_hi_23832726.mp3,करीना संनमच्या संगीतातील करिश्मा वरुना तारुखा गायली.
common_voice_hi_23832732.mp3,किस नेलिखान
common_voice_hi_23832733.mp3,मंत्र मंडल या मंत्रात क्रिती इटकस्टिक फाचलोचा निर्माता एक कमतरता असेल
common_voice_hi_23832734.mp3,म्हणून मी कपॉन उपखंड ठेवतो
common_voice_hi_23832735.mp3,मला मुले आहेत
common_voice_hi_23832736.mp3,हे ज्ञात आहे की या गारमध्ये एक बूथ आहे
common_voice_hi_23832737.mp3,अस्पृश्य होऊ नका
common_voice_hi_23832738.mp3,मी माझ्या सध्याच्या अमदानीने भाग पाडले आहे.
common_voice_hi_23832739.mp3,आपण आजीवन कार खर्च करावी लागेल
common_voice_hi_23832740.mp3,"टॅग्रे निदंद, टॅक्सी मत बंद केले जाईल"
common_voice_hi_23832741.mp3,"कचरा उशीरा, दून, सवाई कर्मियोच्या हर्टल आणि घाण यांनी उशीर केला."
common_voice_hi_23832954.mp3,मुक्त दर
common_voice_hi_23832955.mp3,बाँटिंग परीक्षा रस्ता
common_voice_hi_23832956.mp3,जर मला मूर्ख बन्ना आवडत नसेल तर
common_voice_hi_23832957.mp3,ज्यांची नोकरी आहे
common_voice_hi_23832958.mp3,टॉमसने त्याला साधे बनवावे अशी माझी इच्छा आहे.
common_voice_hi_23833315.mp3,एक चित्रपट पहात आहे
common_voice_hi_23833316.mp3,बाटली चुरडो
common_voice_hi_23833317.mp3,मला कधी पाहिजे होते
common_voice_hi_23833318.mp3,आम्हाला माहित नाही
common_voice_hi_23833319.mp3,अकिस्तानने हाफिजच्या मुलावर दहशतवादी हाफिज घेतला
common_voice_hi_23833325.mp3,"बजरंगदाल आणि भोज्युमो यांच्याशी संबंधित असलेल्या उदिन चार, चहा आय आय आय चाचाहर सबोड सीके यांनी हत्या करणे थांबवले."
common_voice_hi_23833326.mp3,आहे
common_voice_hi_23833327.mp3,"अखिलेश म्हणाले की, मलयानमच्या अशरवादावर शिवपाल नद्राद निताजी जिंदाबाग म्हणाले"
common_voice_hi_23833328.mp3,मी शाळेत जातो
common_voice_hi_23833329.mp3,"कुन्ग्रे अ‍ॅलर्ट पुन्हा सामान्य निवडीबद्दल, मते कुन्ग्रेसने जिंकली"
common_voice_hi_23833330.mp3,आपण आपल्या जेस्टर उलट्या घातल्या आहेत
common_voice_hi_23833331.mp3,Wusne प्रती
common_voice_hi_23833332.mp3,नितीन गटकरी बारातचा विश्रुख्रू बनवेल
common_voice_hi_23833333.mp3,व्हिसीने माझा पॅट घेतला आहे
common_voice_hi_23833334.mp3,मला सर्वांना माहित आहे
common_voice_hi_23833600.mp3,आफ्रिका
common_voice_hi_23833601.mp3,"आज, मालू ही पहिली व्यक्तीची स्तुती नाही"
common_voice_hi_23833602.mp3,वुंबई भारतीर आज महाराष्ट्र आहे महाराष्ट्र जी राजतानी
common_voice_hi_23833603.mp3,मला तिथे कडुनिंब
common_voice_hi_23833604.mp3,माझे वडील सामान्य माणसाकडे येतात
common_voice_hi_23833605.mp3,शणेशेक्स आणि निप्पी बहिरा गिरावतसह बंडू
common_voice_hi_23833606.mp3,चक्रीवादळाने संपूर्ण शहर शहर खंडित केले
common_voice_hi_23833607.mp3,आम्ही फक्त तुटलो आहोत
common_voice_hi_23833608.mp3,अमारी म्युटिन हे टॉर वर कधीतरी काबर आहे
common_voice_hi_23833609.mp3,वॉरर्स विकिस्टा आणि इतर जेड्ससाठी राहत होते
common_voice_hi_23833610.mp3,अंबेटचा ग्रीक शूरो हा कोर्स करेल
common_voice_hi_23833611.mp3,काजरवाल झेसी नटंकीवरील वाष्पकचे युद्ध
common_voice_hi_23833612.mp3,तिथे जाऊन त्याला आनंद झाला
common_voice_hi_23833613.mp3,वॉर्नासी हिन्सी कॉन्ग्रेस भित्ती राय गिरफटर
common_voice_hi_23833614.mp3,"मला माहित आहे की तू अजूनही मला एएसयू वाहतोस, कधीकधी"
common_voice_hi_23834324.mp3,आपण काहीतरी घेईल
common_voice_hi_23834325.mp3,वासका हार्ट सेफ
common_voice_hi_23834326.mp3,महलाई दुनिया बॅडल देते
common_voice_hi_23834327.mp3,राजी: रेरेक संसारोटिका एक सुंदर भाग
common_voice_hi_23834328.mp3,मला इंग्रजी आणि संगीत आवडते
common_voice_hi_23839863.mp3,आपण काय सांगितले?
common_voice_hi_23839864.mp3,वेतन खुले आहे
common_voice_hi_23839865.mp3,"भाजपचा संसदीय पक्षाचा मुलगा, खासदार दिजा सकदीयनासद"
common_voice_hi_23839866.mp3,फ्रेम
common_voice_hi_23839867.mp3,हे माझे हृदय आहे
common_voice_hi_23839868.mp3,भेटू
common_voice_hi_23839869.mp3,आयश्मन विकासो नेशनाल एव्हार्ड नाही मेक्काप लुक ट्रोइल रोग.
common_voice_hi_23839870.mp3,कास मुजी तेर्ना येते.
common_voice_hi_23839871.mp3,V मॅनेन गॅटनाने डोसो लोकांचे लोक काढून घेतले
common_voice_hi_23839872.mp3,आपण फक्त पोर्तुगाल किंवा ब्राजी आहात
common_voice_hi_23844508.mp3,तू कुठे आहेस?
common_voice_hi_23844509.mp3,"आपण इच्छित असल्यास, आपण जाऊ शकता"
common_voice_hi_23844510.mp3,आपण खाली सामायिक का करीत आहात?
common_voice_hi_23844511.mp3,आनाट नाग दहशतवादी हॅमले नंतर दिल्लीचा जंतार मंटार
common_voice_hi_23844512.mp3,सवदान दक्षि
common_voice_hi_23844513.mp3,अखशे कुमारने कोसळल्यावर मोजले
common_voice_hi_23844514.mp3,आम्हाला किती काळ संपवायचा आहे हे मला माहित नाही
common_voice_hi_23844515.mp3,मेरीने तिच्या स्टॅनला चकित केले
common_voice_hi_23844516.mp3,आपल्याला कार कशी चालवायची हे माहित आहे?
common_voice_hi_23844517.mp3,मी अटिनी याई हू ना युनी नाही
common_voice_hi_23844528.mp3,"पेट्रोल, दिवा आणि एलपीजीच्या किंमतीवर सीसीपी एजीटीएजीएच"
common_voice_hi_23844529.mp3,ते कामावरून शहराबाहेर गेले आहेत
common_voice_hi_23844530.mp3,बारी बार्शा येथील सात बरादही आले आणि त्यांनी बरेच नुकसान केले
common_voice_hi_23844531.mp3,किती टीईजे डोर पहा
common_voice_hi_23844532.mp3,मला सांगू नका
common_voice_hi_23844533.mp3,"पुढच्या हबवर अटळ घ्या, काय?"
common_voice_hi_23844534.mp3,आता ब्राजच्या लक्ष्यावर तकसी आणि अटो चालिंक
common_voice_hi_23844535.mp3,"अंतिम सामन्यात बॅडमिंटन टर्नमिंट, काशेव कुर्तर हरे ज्वाला आणि अश्विनीला पराभूत केले"
common_voice_hi_23844536.mp3,त्याने हे काम केले हे त्याने चांगले केले
common_voice_hi_23844537.mp3,तिने तिची हालचाल पाठविली आहे
common_voice_hi_23844538.mp3,"मी अमरचा आहे, मी एक समुदाय आहे, समुदाय नाही, मी मुलायम फिर्यादी आहे"
common_voice_hi_23844539.mp3,माजी केंद्रीय मंत्री श्विकन जेनावरील करवाई यांना कुंगरसमधील पक्षातून हद्दपार करण्यात आले
common_voice_hi_23844540.mp3,जीभ मध्ये राहणे खूप महाग आहे
common_voice_hi_23844541.mp3,आज मी चार वर्षांचा आहे
common_voice_hi_23844542.mp3,प्या आणि पाऊल
common_voice_hi_23847549.mp3,अ‍ॅने तसविरला पाहिले
common_voice_hi_23847550.mp3,आपण काय परिधान केले आहे?
common_voice_hi_23847551.mp3,मला माझ्या कामाची घाई आहे
common_voice_hi_23847552.mp3,ख्रिश्चन बनताना आपण हे करू शकत असल्यास
common_voice_hi_23847553.mp3,ते सर्व भुकेले आहेत
common_voice_hi_23847594.mp3,मी तुला लांब उंच आहे
common_voice_hi_23847595.mp3,अ‍ॅडमि सत्तर प्रतीकाने बनलेले आहे
common_voice_hi_23847596.mp3,टॉम काफा सुटला आहे
common_voice_hi_23847597.mp3,मिरची कदरात सर्व कामगार बाहेर काढले गेले
common_voice_hi_23847598.mp3,मी व्यस्त आहे
common_voice_hi_23849284.mp3,या तिकिटांना कार बारमध्ये आयआर सिटी सी मिळू शकते.
common_voice_hi_23849285.mp3,मी आनंदी आहे
common_voice_hi_23849286.mp3,वाघोया आणि ओरडले
common_voice_hi_23849287.mp3,मग लोक आनंदी आहेत
common_voice_hi_23849288.mp3,कोली कोच हा बहतर कसोटी क्रिकेटपटू आहे
common_voice_hi_23849294.mp3,Tivi चालू
common_voice_hi_23849295.mp3,"टिंटलाग भिल नंतर, ती स्त्री रचान विधी एक पास आहे"
common_voice_hi_23849296.mp3,निरोपातील समस्येमुळे
common_voice_hi_23849297.mp3,स्वीकारलेल्या जनवरीने ब्रिटिसोन केला नाही
common_voice_hi_23849298.mp3,मी रात्री काम केले
common_voice_hi_23849299.mp3,औआन येतात
common_voice_hi_23849300.mp3,डब्ल्यूए रोग काळजीत नाही
common_voice_hi_23849301.mp3,ब्राझील हा ब्राझील आहे
common_voice_hi_23849302.mp3,डोप्टारने सिगारेट प्यायली नाही
common_voice_hi_23849303.mp3,बोटीला बे
common_voice_hi_23849304.mp3,अस्वस्थ आहे
common_voice_hi_23849305.mp3,मीसुद्धा तूही आहेस
common_voice_hi_23849306.mp3,"रामदेव वर हॅमलेचे पीच, विजया खोदले"
common_voice_hi_23849307.mp3,"नंतर, आपण जे काही यायचे आहे ते करू शकते"
common_voice_hi_23849308.mp3,गॅटम गांबिर किकाये कबान बनला
common_voice_hi_23849309.mp3,ट्रीन
common_voice_hi_23849310.mp3,"तर, आपल्याला आपल्याकडून रोख रक्कम घ्यावी लागेल"
common_voice_hi_23849311.mp3,आपण टॉम कधी सांगितले?
common_voice_hi_23849312.mp3,मॉनर चालू करू शकतो
common_voice_hi_23849313.mp3,"माझ्या वडिलांमध्ये, माझ्या वडिलांमध्ये माझ्याकडे खूप पैसे होते, माझ्याकडे खूप पैसे होते"
common_voice_hi_23849314.mp3,त्यांच्याकडे पूर्ण -घट्ट बेड नाही
common_voice_hi_23849315.mp3,आपण पुन्हा चालू केले
common_voice_hi_23849316.mp3,"लोकांची जाहिरात देखील आहे, लोक मोठे होतात"
common_voice_hi_23849317.mp3,तुला ते माहित आहे
common_voice_hi_23849318.mp3,को बे वासा रेडिस उवाटा
common_voice_hi_23849319.mp3,मी तुझ्याबरोबर जातो
common_voice_hi_23849320.mp3,तू कसा आहेस?
common_voice_hi_23849321.mp3,तो उशीरा परत येत आहे
common_voice_hi_23849322.mp3,टॉम आहे
common_voice_hi_23849323.mp3,पॅरा चांगली नासिब होती
common_voice_hi_23849346.mp3,मी एक सोनेरी राखाडी आहे
common_voice_hi_23849349.mp3,अटळ सोई गार मध्ये
common_voice_hi_23849351.mp3,ती चहा बनवित आहे
common_voice_hi_23849353.mp3,तर मग तुम्ही मला उदार पॅन्सो देऊ शकता?
common_voice_hi_23849359.mp3,बिग रथ ते
common_voice_hi_23849360.mp3,कुट सर्वांनाही विली मिळते
common_voice_hi_23849361.mp3,टॉम हा कलटम नाही
common_voice_hi_23849362.mp3,याकी तोरी काना बच्च
common_voice_hi_23849363.mp3,मी टॉमला ओळखले नाही
common_voice_hi_23849376.mp3,या पायावर फळ देऊ नका
common_voice_hi_23849377.mp3,चाबिशला ट्रेनमध्ये पुरले आहे
common_voice_hi_23849378.mp3,"गिराज मंत्री म्हणाले, जाम्या इंसाब पाळीव प्राणी वाइड्सी टांग्टो"
common_voice_hi_23849379.mp3,"मला स्वप्न नाही, पण स्वप्न आहे"
common_voice_hi_23849380.mp3,माझा प्रिय वासनेपासून गहाळ आहे
common_voice_hi_23852746.mp3,टॅम वर जा
common_voice_hi_23852747.mp3,शालवार हा रब्डेचा शेवटचा दिवस आहे
common_voice_hi_23852748.mp3,विंदुन सेखरचा टेलर रिडिस नील नितीमचा खंदार
common_voice_hi_23852749.mp3,माझा क्यूब टायटॅड एक ट्रेझरी आहे
common_voice_hi_23852750.mp3,टॅम अबे सकोलमध्येही आहे
common_voice_hi_23852751.mp3,मी देखील आहे
common_voice_hi_23852752.mp3,किती सफरचंद
common_voice_hi_23852753.mp3,ते चहा बनवत आहेत
common_voice_hi_23852754.mp3,मंत्री मंगी पुस्तक करू शकत नाही
common_voice_hi_23852755.mp3,पुलीला त्याला कॉल करायचा होता
common_voice_hi_23852756.mp3,"अजराद दहरी, सावचर बरेन किलिया डोसर यांनी दलीद कुटुंबाशी लढा दिला"
common_voice_hi_23852757.mp3,ही गुप्त गोष्ट आहे
common_voice_hi_23852758.mp3,मेट्ट मेख टोफा डंगा
common_voice_hi_23852759.mp3,मुज्रिगाचा इटियास खेळण्यासाठी जडडो जाद
common_voice_hi_23852760.mp3,हा चहा हिरवा निवड आहे
common_voice_hi_23852761.mp3,अमारी मुलकाद चुकून केले गेले आहे
common_voice_hi_23852762.mp3,बारा वाजणार आहे
common_voice_hi_23852763.mp3,आपण अमिताग बच्चनच्या गारचे मंदिर आहात
common_voice_hi_23852764.mp3,सिडार्ट हा माझा चांगला मित्र आहे आणि आम्ही राहू
common_voice_hi_23852765.mp3,टॉमला मेरीबरोबर सादिक करण्याची इच्छा नव्हती
common_voice_hi_23852766.mp3,मी आमच्यावर विश्वास ठेवतो म्हणून माझा विश्वास आहे
common_voice_hi_23852767.mp3,त्याचा पळ काढला आहे
common_voice_hi_23852768.mp3,त्याने बेलेला तार्ने येथे नेले
common_voice_hi_23852769.mp3,आज मी जीएआर साफ करण्यासाठी सेरला जाईन
common_voice_hi_23852770.mp3,बिहारमधील लालुपासून बनविलेले अंतर
common_voice_hi_23852771.mp3,गार्फ फक्त माझ्याबद्दल नाही
common_voice_hi_23852772.mp3,आपण देखील बोलत आहात
common_voice_hi_23852773.mp3,टॉमकडे एक संक्षिप्त कॅमेरा आहे
common_voice_hi_23852774.mp3,फक्त मला घ्या
common_voice_hi_23852775.mp3,या बारमध्ये प्रश्नाची वेळ आहे.
common_voice_hi_23852776.mp3,आता दोघे पैसे देत आहेत
common_voice_hi_23852777.mp3,मी रविवारी निघून गेलो नाही
common_voice_hi_23852778.mp3,वाया घालवलेल्या पतंग होते
common_voice_hi_23852779.mp3,तिने फ्रान्सिसी जर्मनकडून जाडा ओरडला
common_voice_hi_23852780.mp3,चांगले द्या
common_voice_hi_23852791.mp3,आपण तुम्हाला पाठविले आहे का?
common_voice_hi_23852792.mp3,आगा पुको मेरी आहे आणि बाकीचे माझे आहे
common_voice_hi_23852793.mp3,चेह in ्यावर दोन पाश्चात्य जबरदस्त ताणतणाव आहेत
common_voice_hi_23852794.mp3,जा आणि टॉमला सांगा
common_voice_hi_23852795.mp3,आपण बोलत आहात
common_voice_hi_23852811.mp3,चांगली लाट
common_voice_hi_23852812.mp3,ते शेड होईल
common_voice_hi_23852813.mp3,जार कहंद जेंग्रेपचा पलंग जिवंत जाळला गेला
common_voice_hi_23852814.mp3,खागाज का विसार चीनमध्ये केले गेले
common_voice_hi_23852815.mp3,चडपो सांबन डिली का काडाटो वर पफली कंडकी
common_voice_hi_23852883.mp3,आपण कधी गुंडाळले जाईल?
common_voice_hi_23852884.mp3,"सैनिकांची गरज आहे, झोपायला नाही"
common_voice_hi_23852885.mp3,भरपूर पाणी पाणी देण्यासाठी उस्तनी
common_voice_hi_23852886.mp3,तमहरी दीदी कशी आहे?
common_voice_hi_23852887.mp3,गार्गी मारियान गार्गी साचियाला विचारा
common_voice_hi_23901985.mp3,फक्त मला तिचे नाव सांगा
common_voice_hi_23901986.mp3,तो हो सा यो सर नी
common_voice_hi_23901987.mp3,जमले होते
common_voice_hi_23901988.mp3,आपण फक्त माझ्यासाठी तयार केले जाईल?
common_voice_hi_23901989.mp3,तर औन्को खुज पिलाव
common_voice_hi_23936419.mp3,सनी लियानची विक्री एखाद्या गोष्टीमध्ये एखाद्या गोष्टीमध्ये दिसते
common_voice_hi_23936421.mp3,येथे आपली की आहे
common_voice_hi_23936422.mp3,टॉम ले यांनी आकाशचे अश्रू पाहिले
common_voice_hi_23936423.mp3,मी शहर नक्ष करिदान बनवितो
common_voice_hi_23936424.mp3,माझ्याकडे बरीच काई आहे?
common_voice_hi_23937109.mp3,या वाझाकडून त्याच्या रिलीझमध्ये बदलण्यासाठी केलेले दावे.
